"b","n","selector","psi","lower","upper","PnEIC","sn"
1,500,"relax",3.09237252426624,2.78415425823615,3.40059079029634,-0.000580118756632063,0.0253039636404777
1,500,"min_var",3.08509588982731,2.78475931754584,3.38543246210879,-0.000287605677505712,0.0246568959160067
1,500,"TMLE",3.06113329673598,2.87210702162977,3.25015957184219,2.64918295633798e-17,NA
2,500,"relax",3.0611828542757,2.75699751179937,3.36536819675203,-0.00109696532998903,0.0249728705087055
2,500,"min_var",3.29350903007388,3.00262980008441,3.58438826006335,-5.2123640599533e-05,0.0238804713108894
2,500,"TMLE",3.09856443780941,2.92209128597808,3.27503758964074,-5.63169302858491e-17,NA
3,500,"relax",3.52968682974339,3.24028998412875,3.81908367535803,-3.57104907784726e-06,0.0237587711897217
3,500,"min_var",3.4777475970912,3.20217370231995,3.75332149186244,3.88410204008361e-05,0.0226239408305397
3,500,"TMLE",3.27481564070303,3.01963713919625,3.5299941422098,-4.17962539578376e-16,NA
4,500,"relax",3.10339713174582,2.73451775526504,3.47227650822659,0.0026700548667133,0.0302840920183502
4,500,"min_var",2.93266270638585,2.58243274419872,3.28289266857298,1.69382697822933e-05,0.0287530208482965
4,500,"TMLE",3.09511961086546,2.88500126857365,3.30523795315728,-2.3711501512258e-17,NA
5,500,"relax",3.39630852951765,3.11044505607219,3.68217200296311,-0.00137343971351586,0.0234686900013196
5,500,"min_var",3.49134991308212,3.2235965208745,3.75910330528975,-4.48954995528874e-05,0.0219818967522671
5,500,"TMLE",3.3110868161871,3.13158718725022,3.49058644512397,8.82037498595167e-16,NA
6,500,"relax",3.06021736170292,2.7426371540008,3.37779756940504,-0.000515959274490431,0.0260725560886943
6,500,"min_var",3.07459413147151,2.76561598651388,3.38357227642915,-0.000153257959171092,0.0253663478365906
6,500,"TMLE",3.05412151340875,2.81971485167493,3.28852817514256,1.006456745202e-15,NA
7,500,"relax",3.30405902242661,2.95529015021915,3.65282789463406,-0.00343636160500078,0.0286330689447399
7,500,"min_var",3.52401608194649,3.19493145324711,3.85310071064588,0.000439274669155294,0.0270170408344203
7,500,"TMLE",3.31702213988191,3.13726059679397,3.49678368296985,3.02234366006404e-17,NA
8,500,"relax",2.99542950570583,2.70146665189218,3.28939235951949,0.00166739452079361,0.0241336292633141
8,500,"min_var",3.03810545439959,2.75196536697448,3.32424554182469,4.76681584514491e-06,0.023491399330567
8,500,"TMLE",3.02561526334429,2.84517474478352,3.20605578190506,-4.44089209850063e-16,NA
9,500,"relax",2.6063040497613,1.9136246417312,3.29898345779139,9.85218165452135e-05,0.0568672803888583
9,500,"min_var",3.60819171068311,2.94318915303726,4.27319426832895,-0.000101470761665197,0.0545950788583444
9,500,"TMLE",3.11928779274904,2.86190782023544,3.37666776526265,4.7207848285916e-10,NA
10,500,"relax",3.48460393378735,3.12232904618921,3.84687882138548,-0.00612146301364444,0.0297418796806358
10,500,"min_var",3.25461028942168,2.91970769974778,3.58951287909558,1.07989595503286e-05,0.02749468116008
10,500,"TMLE",3.26196335002973,2.98255529486614,3.54137140519333,6.40337934586233e-16,NA
11,500,"relax",2.78211743071795,2.47318485284976,3.09105000858613,0.000147252860139901,0.0253626068903145
11,500,"min_var",2.45719899642646,2.17086671895735,2.74353127389557,0.000136325295511141,0.0235071776617746
11,500,"TMLE",2.78029997671676,2.61027082942484,2.95032912400867,3.02096130229412e-16,NA
12,500,"relax",3.10879471412539,2.8211724704951,3.39641695775569,0.00434215954110148,0.0236130807195674
12,500,"min_var",2.91058197642207,2.65037282318474,3.1707911296594,1.84837461384197e-05,0.0213625332373842
12,500,"TMLE",2.9785008394258,2.78920409421398,3.16779758463762,-5.65869779419609e-16,NA
13,500,"relax",3.50102158205032,3.14846568877849,3.85357747532216,0.000908349848084151,0.0289439740852853
13,500,"min_var",3.70610645595074,3.38868180874104,4.02353110316044,3.17728691773894e-05,0.0260597849538269
13,500,"TMLE",3.49455222749002,3.29426968774962,3.69483476723041,2.72150791486014e-16,NA
14,500,"relax",3.03578370044708,2.70053001423162,3.37103738666254,-0.000149656449061167,0.0275235053249694
14,500,"min_var",3.30316986130714,2.97756529905095,3.62877442356334,0.000117465100142057,0.0267313359153734
14,500,"TMLE",2.9978467992448,2.77216127596941,3.22353232252019,5.57546541369875e-10,NA
15,500,"relax",3.03849227419615,2.724194595858,3.35278995253429,0.00259590605391558,0.0258030684793301
15,500,"min_var",3.06024363911748,2.74731242726386,3.3731748509711,-1.42745424227367e-05,0.0256908849326324
15,500,"TMLE",2.90325565984646,2.69618443265901,3.1103268870339,1.19341710992649e-16,NA
16,500,"relax",2.88672885485649,2.59294052295751,3.18051718675547,-2.3081303810265e-05,0.0241193014421881
16,500,"min_var",2.91501261286557,2.62809794336174,3.20192728236939,-2.97244313916936e-05,0.023554990619328
16,500,"TMLE",2.85923800494397,2.60958120617167,3.10889480371628,2.36968777933555e-15,NA
17,500,"relax",3.11010626449585,2.74845834005325,3.47175418893845,0.00231638000615736,0.0296904075433875
17,500,"min_var",3.2060438856563,2.86653764303524,3.54555012827735,-2.45153817926637e-05,0.0278726297751591
17,500,"TMLE",3.15068920828405,2.99973952017851,3.30163889638959,6.83749931673638e-17,NA
18,500,"relax",3.24734550118446,2.95216007820278,3.54253092416614,0.00247661007704061,0.0242339991932799
18,500,"min_var",3.20702303794861,2.92851779458502,3.4855282813122,4.69082585001658e-05,0.0228645973599326
18,500,"TMLE",3.26514161456848,3.09935054264987,3.43093268648708,-4.48511250383289e-16,NA
19,500,"relax",3.19547716825485,2.89236771435877,3.49858662215093,0.000826338663990427,0.0248845426952166
19,500,"min_var",3.42654558680236,3.13441032520067,3.71868084840406,6.80412703034536e-05,0.023983588425447
19,500,"TMLE",3.19133696761684,2.99039921794696,3.39227471728672,5.26426124913826e-16,NA
20,500,"relax",3.03166759785652,2.71612072573514,3.3472144699779,-0.00177199162144906,0.0259056242248999
20,500,"min_var",3.08915286679506,2.78069800645781,3.39760772713231,0.000192512374519869,0.0253233874527744
20,500,"TMLE",3.11867617567471,2.93945160162979,3.29790074971963,-3.33066907387547e-16,NA
21,500,"relax",3.0900716150701,2.758021875705,3.42212135443521,0.000275024261607713,0.0272604691472252
21,500,"min_var",3.06379193080902,2.73530902997067,3.39227483164737,5.40343357492446e-05,0.0269676404529534
21,500,"TMLE",2.99482375776892,2.74332588491527,3.24632163062257,1.60032143786681e-16,NA
22,500,"relax",2.89476096381187,2.56120985407127,3.22831207355248,-0.000423975795540706,0.0273837279724789
22,500,"min_var",2.5298218247807,2.22474852116721,2.8348951283942,0.000235192648781312,0.0250457699400676
22,500,"TMLE",2.88741449366208,2.6333230814512,3.14150590587295,2.372678876289e-17,NA
23,500,"relax",3.27677813020468,2.92097598093157,3.63258027947778,0.00254545733762307,0.029210483740543
23,500,"min_var",3.04963097628355,2.71790528107585,3.38135667149125,4.76758009830878e-05,0.0272338659167208
23,500,"TMLE",2.94571433289601,2.64713756336995,3.24429110242207,6.15647549397384e-11,NA
24,500,"relax",3.50178994873069,3.19943947893421,3.80414041852717,-3.93761043704677e-05,0.0248222319622822
24,500,"min_var",3.37190836516976,3.07806863995063,3.6657480903889,-1.25991516817709e-05,0.0241235207077148
24,500,"TMLE",3.03713444160095,2.86531237470493,3.20895650849698,7.37909147936733e-10,NA
25,500,"relax",3.07940134995461,2.76960123550215,3.38920146440706,-0.000382548931031795,0.0254338295159813
25,500,"min_var",3.1725199300313,2.88309169706524,3.46194816299736,0.000115640039740116,0.0237613480142858
25,500,"TMLE",3.05450480586999,2.8670423075458,3.24196730419417,-4.52849563403745e-18,NA
26,500,"relax",2.95190871489882,2.6406158831122,3.26320154668545,0.00082996235183592,0.0255563779477655
26,500,"min_var",2.97762531118095,2.66678630236295,3.28846431999894,7.04832403806405e-05,0.0255191201951823
26,500,"TMLE",2.82273453270652,2.63352287175872,3.01194619365433,-3.82191023620693e-17,NA
27,500,"relax",2.98260855587721,2.62624160614893,3.33897550560549,-0.00231407917653775,0.029256852472565
27,500,"min_var",2.11988548819065,1.77548178762771,2.46428918875359,-3.08307830190248e-06,0.028274699059658
27,500,"TMLE",2.99731085961569,2.80861957490054,3.18600214433083,1.44034307050789e-16,NA
28,500,"relax",3.42521851628423,3.05129687968586,3.7991401528826,0.000197291781765699,0.0306980492063023
28,500,"min_var",3.17891201835394,2.82396811474292,3.53385592196496,1.92623765120243e-05,0.0291400238767988
