"n","b","psi_reg_cv","psi_reg","psi_relax","lower_proj_reg_cv","lower_proj_reg","lower_proj_relax","upper_proj_reg_cv","upper_proj_reg","upper_proj_relax","lower_delta_reg_cv","lower_delta_reg","lower_delta_relax","upper_delta_reg_cv","upper_delta_reg","upper_delta_relax"
500,1,1.86475826931247,1.86569969447817,1.19752420684022,1.4381331438607,1.43895202441284,0.88711455089674,2.29138339476424,2.29244736454351,1.5079338627837,0.903076963527439,0.904379618876887,-0.362041821761566,2.82643957509751,2.82701977007946,2.75709023544201
500,2,3.17900451568783,3.17902727150216,3.5828452086722,2.91703247130168,2.91562608067858,3.42002442491706,3.44097656007398,3.44242846232574,3.74566599242735,2.84549107652353,2.84537771869758,3.2587419121458,3.51251795485213,3.51267682430674,3.90694850519861
500,3,2.95192622209286,2.95082109566433,2.98664972757719,2.66503367167414,2.66363089951816,2.74681625492259,3.23881877251158,3.2380112918105,3.2264832002318,2.60821252946585,2.60710005577398,2.65621616434547,3.29563991471987,3.29454213555468,3.31708329080892
500,4,0.957809088934764,0.972582484140373,0.719291568196147,0.497284891282127,0.510061001059246,0.355462899328344,1.4183332865874,1.4351039672215,1.08312023706395,-0.211093006559089,-0.193509241549201,-1.30505251875516,2.12671118442862,2.13867420982995,2.74363565514745
500,5,2.72778556530076,2.72778387715661,1.2779567417301,2.23613433336032,2.23613424392722,1.02107407825714,3.2194367972412,3.21943351038599,1.53483940520307,2.38046690820725,2.38046460140007,0.790172978771642,3.07510422239427,3.07510315291314,1.76574050468856
500,6,2.943401802153,2.98776838294005,5.95731820321673,2.59224898617903,2.63519027076543,5.68876792859636,3.29455461812697,3.34034649511468,6.2258684778371,2.61779263007522,2.66047345146319,4.7871070774078,3.26901097423077,3.31506331441692,7.12752932902566
500,7,1.758924309232,1.57678155670658,-1.83772859357016,1.52161236515184,1.34023207196932,-2.08617056682064,1.99623625331217,1.81333104144384,-1.58928662031969,1.34943612721934,1.15760782735204,-2.63135414234352,2.16841249124467,1.99595528606112,-1.04410304479681
500,8,1.10244669152738,1.10608040498373,-2.26420914580848,0.817398421088556,0.821086182717178,-2.50815493585312,1.3874949619662,1.39107462725029,-2.02026335576384,0.568005447662733,0.572212777329405,-3.46748420442586,1.63688793539202,1.63994803263806,-1.0609340871911
500,9,2.26089587348619,2.26573211351374,-1.58355663556869,1.95367376666369,1.95873311274287,-1.83791996121045,2.56811798030868,2.57273111428462,-1.32919330992694,1.89423929901403,1.89980613057844,-2.97214858825932,2.62755244795834,2.63165809644905,-0.194964682878065
500,10,2.69525041861991,2.73466408127787,3.93053686165164,2.35075961548001,2.39632414786327,3.56243869386165,3.0397412217598,3.07300401469246,4.29863502944162,2.29406100128218,2.33448095682261,3.48628223842842,3.09643983595763,3.13484720573313,4.37479148487486
500,11,2.360085873536,2.34824979049533,0.21034648968478,1.99084780066691,1.9783596769711,-0.18983850067257,2.7293239464051,2.71813990401956,0.610531480042129,1.26590120096109,1.25616290768614,-1.75002928957079,3.45427054611092,3.44033667330451,2.17072226894035
500,12,3.26717686574772,3.26677128485095,3.11952054046,3.07831145830418,3.07786825815754,2.85289588995603,3.45604227319125,3.45567431154435,3.38614519096398,2.89779798019427,2.89734521253031,2.76393202011548,3.63655575130116,3.63619735717158,3.47510906080453
500,13,3.0330287852614,3.03542952965543,1.52820300959491,2.71999253339559,2.72292538388339,0.182131194453638,3.34606503712722,3.34793367542746,2.87427482473618,2.69509119171883,2.69767900714412,0.101447511733604,3.37096637880398,3.37318005216674,2.95495850745622
500,14,2.82481781457213,2.87092826882222,-0.400126703334822,2.49331382331254,2.5520242815423,-0.767608356037363,3.15632180583171,3.18983225610215,-0.0326450506322806,2.38011320139814,2.4308017618794,-1.88443450794901,3.26952242774611,3.31105477576504,1.08418110127936
500,15,1.42686027134305,1.43670529596204,-0.672946530547417,1.14051127411508,1.15196429180885,-0.885175663024271,1.71320926857102,1.72144630011523,-0.460717398070563,0.953237574668789,0.96297382378463,-1.63181441234668,1.90048296801732,1.91043676813945,0.285921351251849
500,16,1.4824397885034,1.49243416722445,-1.02362747999117,1.21559015292453,1.22597732971782,-1.21932507131274,1.74928942408227,1.75889100473109,-0.827929888669597,0.934717867149085,0.946868879455673,-2.24392315614773,2.03016170985772,2.03799945499324,0.196668196165396
500,17,2.98872428134501,2.98927928024304,3.01296118256827,2.65530793228812,2.65618136168662,2.80389836125331,3.32214063040189,3.32237719879946,3.22202400388322,2.61994624744537,2.62052682617383,2.65665319202588,3.35750231524465,3.35803173431225,3.36926917311065
500,18,3.19955305556525,3.19520978217998,2.97585677680315,2.93862239312828,2.93565371159072,2.75253457263317,3.46048371800223,3.45476585276925,3.19917898097314,2.82604521095612,2.82172806490349,2.61667960216317,3.57306090017439,3.56869149945648,3.33503395144314
500,19,1.39976169873222,1.39976169873222,1.39976169873222,0.916951347743767,0.916951347743767,0.916951347743767,1.88257204972068,1.88257204972068,1.88257204972068,0.916951347743767,0.916951347743767,0.916951347743767,1.88257204972068,1.88257204972068,1.88257204972068
500,20,2.91525488791553,2.91554171424833,3.08175730306435,2.42091641313307,2.42146770258442,2.81871374023771,3.40959336269799,3.40961572591224,3.34480086589099,2.53600267787957,2.53629210233727,2.69669902819855,3.29450709795149,3.29479132615939,3.46681557793016
500,21,2.98037059523727,2.97877748148761,2.82736553499531,2.70570241072894,2.70956219102266,2.53114577294653,3.25503877974561,3.24799277195255,3.12358529704409,2.67417059641211,2.67351559578834,2.5274772303189,3.28657059406243,3.28403936718688,3.12725383967172
