"n","b","psi_os","psi_reg_cv","psi_reg","psi_relax","lower_proj_os","lower_proj_reg_cv","lower_proj_reg","lower_proj_relax","upper_proj_os","upper_proj_reg_cv","upper_proj_reg","upper_proj_relax","lower_delta_os","lower_delta_reg_cv","lower_delta_reg","lower_delta_relax","upper_delta_os","upper_delta_reg_cv","upper_delta_reg","upper_delta_relax"
500,1,1.85478026375647,1.86475826931247,1.86569969447817,1.19752420684022,1.42885457324457,1.4381331438607,1.43895202441284,0.88711455089674,2.28070595426837,2.29138339476424,2.29244736454351,1.5079338627837,0.889928608328099,0.903076963527439,0.904379618876887,-0.362041821761566,2.81963191918484,2.82643957509751,2.82701977007946,2.75709023544201
500,2,2.95982111533246,3.17900451568783,3.17902727150216,3.5828452086722,2.44098035535198,2.91703247130168,2.91562608067858,3.42002442491706,3.47866187531294,3.44097656007398,3.44242846232574,3.74566599242735,2.61734193992403,2.84549107652353,2.84537771869758,3.2587419121458,3.30230029074089,3.51251795485213,3.51267682430674,3.90694850519861
500,3,2.7866237452675,2.95192622209286,2.95082109566433,2.98664972757719,2.45056338391019,2.66503367167414,2.66363089951816,2.74681625492259,3.12268410662482,3.23881877251158,3.2380112918105,3.2264832002318,2.4429329167992,2.60821252946585,2.60710005577398,2.65621616434547,3.1303145737358,3.29563991471987,3.29454213555468,3.31708329080892
500,4,1.03112804297789,0.957809088934764,0.972582484140373,0.719291568196147,0.572699312433943,0.497284891282127,0.510061001059246,0.355462899328344,1.48955677352184,1.4183332865874,1.4351039672215,1.08312023706395,-0.125862158677944,-0.211093006559089,-0.193509241549201,-1.30505251875516,2.18811824463373,2.12671118442862,2.13867420982995,2.74363565514745
500,5,2.68258287561158,2.72778556530076,2.72778387715661,1.2779567417301,2.19289445424811,2.23613433336032,2.23613424392722,1.02107407825714,3.17227129697505,3.2194367972412,3.21943351038599,1.53483940520307,2.33621401246253,2.38046690820725,2.38046460140007,0.790172978771642,3.02895173876062,3.07510422239427,3.07510315291314,1.76574050468856
500,6,2.82863603851551,2.943401802153,2.98776838294005,5.95731820321673,2.47143496153067,2.59224898617903,2.63519027076543,5.68876792859636,3.18583711550035,3.29455461812697,3.34034649511468,6.2258684778371,2.50426960689,2.61779263007522,2.66047345146319,4.7871070774078,3.15300247014102,3.26901097423077,3.31506331441692,7.12752932902566
500,7,2.59858989526213,1.758924309232,1.57678155670658,-1.83772859357016,2.34618071917299,1.52161236515184,1.34023207196932,-2.08617056682064,2.85099907135128,1.99623625331217,1.81333104144384,-1.58928662031969,2.21302423691146,1.34943612721934,1.15760782735204,-2.63135414234352,2.98415555361281,2.16841249124467,1.99595528606112,-1.04410304479681
500,8,1.0377144551894,1.10244669152738,1.10608040498373,-2.26420914580848,0.751436546416032,0.817398421088556,0.821086182717178,-2.50815493585312,1.32399236396277,1.3874949619662,1.39107462725029,-2.02026335576384,0.494176825575115,0.568005447662733,0.572212777329405,-3.46748420442586,1.58125208480369,1.63688793539202,1.63994803263806,-1.0609340871911
500,9,1.73961585998805,2.26089587348619,2.26573211351374,-1.58355663556869,1.39765707338471,1.95367376666369,1.95873311274287,-1.83791996121045,2.0815746465914,2.56811798030868,2.57273111428462,-1.32919330992694,1.29787669533562,1.89423929901403,1.89980613057844,-2.97214858825932,2.18135502464049,2.62755244795834,2.63165809644905,-0.194964682878065
500,10,3.13213622880424,2.69525041861991,2.73466408127787,3.93053686165164,2.69724784569023,2.35075961548001,2.39632414786327,3.56243869386165,3.56702461191824,3.0397412217598,3.07300401469246,4.29863502944162,2.73534369970749,2.29406100128218,2.33448095682261,3.48628223842842,3.52892875790099,3.09643983595763,3.13484720573313,4.37479148487486
1000,1,0.68782587459344,0.491319432106047,0.471450387766284,-2.0525647267613,0.443272642369362,0.2469329146462,0.227424688920982,-2.25838795814331,0.932379106817518,0.735705949565894,0.715476086611585,-1.84674149537928,0.271531799881739,0.0564560792290846,0.0348342270315773,-2.82992251205386,1.10411994930514,0.926182784983009,0.90806654850099,-1.27520694146874
1000,2,2.86300184176281,3.24229051165358,3.24198755158778,2.83296371597834,2.61032565688512,3.03168710725232,3.0315060164829,2.61773149475752,3.1156780266405,3.45289391605483,3.45246908669266,3.04819593719916,2.6109564779352,2.9788241197016,2.97859344631046,2.59013709705311,3.11504720559042,3.50575690360555,3.50538165686511,3.07579033490357
1000,3,0.896993901139659,1.23408991642909,1.24093128564941,-0.497845569213023,0.524602117394626,0.893893960697526,0.900977968532343,-0.835814975259044,1.26938568488469,1.57428587216066,1.58088460276649,-0.159876163167002,0.422885027473809,0.781654815876957,0.788717931109501,-1.5006145030396,1.37110277480551,1.68652501698123,1.69314464018933,0.50492336461355
1000,4,-1.67710471326969,-1.4309777382019,-1.42316384084081,-3.28571145357354,-1.93326634750349,-1.66696298329056,-1.658830349834,-3.48992052702999,-1.42094307903589,-1.19499249311325,-1.18749733184762,-3.08150238011708,-2.40154313466008,-2.12787229661642,-2.11918145370613,-4.25363162011137,-0.952666291879304,-0.73408317978738,-0.727146227975487,-2.31779128703571
1000,5,2.2282891504535,2.75737274874146,2.77800889515332,0.685385636194828,1.97672643607116,2.53216589037399,2.553577152799,0.442937428071796,2.47985186483583,2.98257960710893,3.00244063750764,0.92783384431786,1.9081097541449,2.48315856677112,2.50541218037061,-0.0681858167950358,2.54846854676209,3.0315869307118,3.05060560993602,1.43895708918469
