"","psi_reg","psi_relax","lower_proj_reg","lower_proj_relax","upper_proj_reg","upper_proj_relax","lower_delta_reg","lower_delta_relax","upper_delta_reg","upper_delta_relax"
"1",1.62462783034862,2.49921274676326,1.16431656058927,2.25713073089389,2.08493910010796,2.74129476263264,0.668082203000875,0.621151124393013,2.58117345769636,4.37727436913351
"2",2.98718238641061,2.88389307117986,2.73525976678123,2.70699392401813,3.23910500603998,3.06079221834158,2.70544075574662,2.62413737897925,3.26892401707459,3.14364876338046
"3",1.25095584953382,-1.39756936743103,0.952702983540553,-1.65699824864908,1.54920871552709,-1.13814048621299,0.792546807297158,-2.66243215794637,1.70936489177049,-0.132706576915697
"4",3.91693968448943,4.51360422247317,3.55878410689182,4.05662505983701,4.27509526208703,4.97058338510933,3.42479569970912,3.95438867478887,4.40908366926973,5.07281977015747
"5",3.14339965375,-0.431285685517472,2.74296108522586,-0.823105177647291,3.54383822227415,-0.0394661933876527,2.54440592278397,-2.86837686370927,3.74239338471604,2.00580549267433
"6",1.62397757333211,2.47770687503224,1.25912962401863,2.16865053379952,1.98882552264559,2.78676321626497,0.941516385587981,1.2441785624544,2.30643876107624,3.71123518761009
"7",3.13580962822681,3.17128851265243,2.98244706349136,2.93225917018719,3.28917219296227,3.41031785511767,2.84653355181647,2.86003279485857,3.42508570463715,3.48254423044628
"8",2.94964068367766,2.91804099166781,2.7324848648365,2.63646001472232,3.16679650251882,3.1996219686133,2.62541002649252,2.40101230482264,3.2738713408628,3.43506967851298
"9",1.54189962801029,-3.53669709030918,1.20141171936785,-3.86816135998652,1.88238753665272,-3.20523282063183,1.11854904316801,-4.99000120857852,1.96525021285257,-2.08339297203983
"10",4.61353061991512,6.26018774377113,4.18763878477192,5.87794429419732,5.03942245505832,6.64243119334494,4.00775184142472,5.08743146716526,5.21930939840551,7.43294402037701
"11",1.37547919115488,-0.0802568268929672,0.919555266894122,-0.374017785819325,1.83140311541563,0.213504132033391,0.801816399734136,-1.38331172596956,1.94914198257562,1.22279807218363
"12",-0.623114951230494,-4.5464811781297,-1.04031157605534,-4.77422211778151,-0.205918326405645,-4.3187402384779,-1.68300664798085,-6.43325647279301,0.436776745519859,-2.6597058834664
"13",3.32864685612038,0.990405682464508,2.64847014954193,0.623517202256707,4.00882356269882,1.35729416267231,2.93106474129977,-0.668132178598904,3.72622897094098,2.64894354352792
"14",0.37951639517859,0.37951639517859,-0.246466296606815,-0.246466296606815,1.005499086964,1.005499086964,-0.246466296606815,-0.246466296606815,1.005499086964,1.005499086964
"15",-0.869242242325067,-2.23714218168538,-1.41056724051966,-2.65144768534082,-0.327917244130476,-1.82283667802994,-1.93110993488052,-4.29740863548946,0.192625450230389,-0.176875727881294
"16",2.65584701359408,2.76727939833654,2.4400765251082,2.57103660231201,2.87161750207996,2.96352219436107,2.30501247648846,2.42932384951823,3.00668155069969,3.10523494715485
"17",2.70417183800621,2.81966309044038,2.47057078234942,2.58091780002479,2.93777289366301,3.05840838085598,2.33003270345233,2.47828267544121,3.0783109725601,3.16104350543956
"18",3.34443343013352,-0.928129608716565,3.0385955924767,-1.13534536756682,3.65027126779033,-0.720913849866314,2.93187111416826,-1.9215249982298,3.75699574609877,0.0652657807966688
"19",2.71512032303857,-0.379128999656394,2.47491322404081,-0.567993848870294,2.95532742203634,-0.190264150442493,2.33891410515472,-1.73157211296171,3.09132654092243,0.973314113648927
"20",1.4465236176396,-2.98959218320375,1.08337948875855,-3.22678489033408,1.80966774652066,-2.75239947607343,0.840591635805528,-4.74582909694818,2.05245559947368,-1.23335526945933
"21",2.12824116026071,0.432126784223887,1.8631554169129,0.188149295858497,2.39332690360853,0.676104272589277,1.7048807238489,-1.58952389590727,2.55160159667253,2.45377746435505
"22",3.05234294046269,3.00903507765271,2.86675529097712,2.81851067176865,3.23793058994826,3.19955948353676,2.71293123004529,2.68976478913312,3.39175465088008,3.32830536617229
"23",3.24359043626635,-3.63638209300355,2.97975388576147,-3.91586650125649,3.50742698677123,-3.35689768475061,2.96550451630412,-4.6896030878973,3.52167635622859,-2.5831610981098
"24",3.03245660749175,0.106080071971564,2.73011931610463,-0.0744195787235551,3.33479389887888,0.286579722666682,2.58532386913922,-1.33429413332733,3.47958934584428,1.54645427727046
"25",2.37345920572703,2.76259147945706,2.00439463585474,2.35363121736831,2.74252377559932,3.1715517415458,1.94313302881975,2.37447804165933,2.80378538263431,3.15070491725478
"26",2.828798235649,2.58571952564447,2.56800356114584,2.37221155945991,3.08959291015215,2.79922749182903,2.45757769176872,2.25085979238002,3.20001877952927,2.92057925890892
"27",2.77755982083157,5.47099366839276,2.59501445223111,5.30179336520767,2.96010518943203,5.64019397157785,2.38606435743459,4.375045267385,3.16905528422855,6.56694206940052
"28",3.35371545834706,3.43967967662519,3.13499032182896,3.24427867865088,3.57244059486517,3.63508067459951,2.99576003802675,3.09302288394,3.71167087866738,3.78633646931038
"29",2.90609474434276,1.57614543964001,2.59195053821711,1.30197561141868,3.22023895046841,1.85031526786133,2.29511161599709,0.172647845562571,3.51707787268843,2.97964303371744
"30",2.80037822214005,2.85063762893507,2.51549671268463,2.66217465211699,3.08525973159547,3.03910060575315,2.44999201163442,2.52122817705385,3.15076443264568,3.18004708081629
"31",2.98591599421361,2.77494020621365,2.74922871049926,2.40492238876808,3.22260327792796,3.14495802365922,2.56372886477776,2.38210760334385,3.40810312364945,3.16777280908344
"32",1.92334539813242,1.92334539813242,1.47647410306577,1.47647410306577,2.37021669319906,2.37021669319906,1.47647410306577,1.47647410306577,2.37021669319906,2.37021669319906
