"n","b","psi_reg","psi_relax","lower_proj_reg","lower_proj_relax","upper_proj_reg","upper_proj_relax","lower_delta_reg","lower_delta_relax","upper_delta_reg","upper_delta_relax"
500,1,1.86569969447817,1.19752420684022,1.43895202441284,0.88711455089674,2.29244736454351,1.5079338627837,0.904379618876887,-0.362041821761566,2.82701977007946,2.75709023544201
500,2,2.99833190070677,2.93641477572682,2.75246950536998,2.75480051375259,3.24419429604356,3.11802903770105,2.72114045964933,2.67716690362805,3.27552334176422,3.19566264782559
500,3,-0.61540063080258,-3.09314351821507,-1.01309969199892,-3.79476492192131,-0.217701569606237,-2.39152211450884,-1.4356331522492,-5.07572903662207,0.204831890644035,-1.11055799980808
500,4,4.12862970613596,5.08369106825087,3.5996098092131,4.55786639568315,4.65764960305882,5.60951574081859,3.60477452624837,4.46597158116591,4.65248488602355,5.70141055533583
500,5,2.156557300637,-1.21441271322701,1.8553970699337,-1.45859443986999,2.45771753134029,-0.970230986584022,1.73321742506444,-2.96479405385598,2.57989717620955,0.535968627401967
500,6,1.87920214250389,1.58966077848644,1.54054742519494,1.24136623627974,2.21785685981284,1.93795532069315,1.24453216256551,0.594778843454833,2.51387212244227,2.58454271351806
500,7,3.08096420502055,2.98843309160634,2.77495213409948,2.82217598321102,3.38697627594161,3.15469020000167,2.72748147079201,2.64024066519838,3.43444693924908,3.33662551801431
500,8,2.98794939888497,3.1344618638359,2.79499076727596,2.84453108554863,3.18090803049398,3.42439264212317,2.65693988932768,2.81425647349377,3.31895890844226,3.45466725417802
500,9,0.30823710023464,-2.71288714011602,-0.152009073182477,-2.90585829017701,0.768483273651757,-2.51991599005503,-0.381244278792417,-4.20991232432052,0.997718479261697,-1.21586195591152
500,10,4.39113378558672,5.49236187165938,3.92858556658047,4.95820927281262,4.85368200459297,6.02651447050613,3.81446918126703,4.33640678406312,4.96779838990641,6.64831695925564
500,11,0.299431229375308,-1.38449848201854,-0.161026119640493,-1.77879337345958,0.759888578391109,-0.990203590577508,-0.338596882095722,-2.67740528958369,0.937459340846338,-0.0915916744533904
500,12,0.430953370157494,-1.19105587829253,0.0843931689646423,-1.42036280050504,0.777513571350345,-0.961748956080017,-0.481976962662341,-2.74545225423228,1.34388370297733,0.363340497647226
500,13,-0.580136271785305,-0.580136271785305,-1.3559931600893,-1.3559931600893,0.195720616518686,0.195720616518686,-1.3559931600893,-1.3559931600893,0.195720616518686,0.195720616518686
500,14,0.961282960063685,-2.37399786904922,0.689391284354698,-2.59444334001616,1.23317463577267,-2.15355239808228,0.402110806063546,-3.6836200106589,1.52045511406382,-1.06437572743954
500,15,-0.980263359228735,-3.98701360796197,-1.51637308845045,-4.4039792850506,-0.444153630007021,-3.57004793087334,-1.87959009792184,-6.05355612457685,-0.0809366205356303,-1.92047109134708
500,16,-0.249368151504979,-2.43697267497443,-0.700101340104944,-2.75726484862412,0.201365037094986,-2.11668050132474,-1.10634934926189,-4.32374787878121,0.607613046251936,-0.550197471167647
500,17,1.97711708849992,-1.41939923765524,1.70618126767818,-1.6592046316106,2.24805290932166,-1.17959384369987,1.54927187373357,-2.69098206335105,2.40496230326627,-0.147816411959429
500,18,3.91759347227865,0.44696345677761,3.5880761177305,0.156214246583992,4.2471108268268,0.737712666971229,3.53495255164869,-0.433849098280292,4.3002343929086,1.32777601183551
500,19,2.90579247501353,-1.88649112267445,2.67465870209272,-2.09843379242704,3.13692624793434,-1.67454845292187,2.5590902104849,-3.2155962115961,3.25249473954216,-0.557386033752805
500,20,1.52465437053589,-2.48841927050389,1.20485622818504,-2.69859858861799,1.84445251288674,-2.27823995238978,0.9470762185884,-4.11296183909727,2.10223252248338,-0.863876701910503
500,21,1.66641316594072,-2.70586942251115,1.42502198581807,-2.89765436426907,1.90780434606338,-2.51408448075322,1.21342911105871,-4.13180655075618,2.11939722082273,-1.27993229426611
500,22,3.01567647396095,3.01152376890835,2.82974541350307,2.7610662329015,3.20160753441882,3.2619813049152,2.67761988411735,2.69748686956667,3.35373306380454,3.32556066825003
500,23,2.61904056123517,0.665285346322413,2.30036421795714,0.319370416764085,2.93771690451319,1.01120027588074,2.06678888412378,-0.836150239793473,3.17129223834655,2.1667209324383
500,24,3.21924428524499,4.25173901760946,2.94724259595743,4.00863251771575,3.49124597453255,4.49484551750317,2.77313536426235,3.2672364098183,3.66535320622763,5.23624162540062
500,25,0.816085594098673,0.415296885882947,0.563108937323063,0.137697370958072,1.06906225087428,0.692896400807822,0.370725091201742,-0.103549785412826,1.2614460969956,0.93414355717872
500,26,2.91826222234105,2.56579489002916,2.63142041313827,2.31962300502921,3.20510403154382,2.8119667750291,2.53607565303563,2.21691925290239,3.30044879164646,2.91467052715593
500,27,2.84475492927866,6.0845797584223,2.62443365674614,5.87354930686523,3.06507620181118,6.29561020997936,2.43912913623691,4.7314232758092,3.25038072232042,7.43773624103539
500,28,3.31808264325131,3.39775022852365,3.07941770828454,3.13118272208638,3.55674757821808,3.66431773496093,2.95841324268615,3.04763452160967,3.67775204381647,3.74786593543764
500,29,3.45212148822143,3.43090367543698,3.16704323195112,3.14498334999416,3.73719974449175,3.71682400087979,3.1415056532539,3.12007814727595,3.76273732318896,3.741729203598
500,30,2.78810442979559,2.83826019744246,2.47113183136008,2.5930471417598,3.1050770282311,3.08347325312511,2.43350700772101,2.49930760693871,3.14270185187017,3.17721278794621
500,31,3.05222340045843,3.44827971934899,2.78551751314335,2.47977705890655,3.31892928777352,4.41678237979142,2.64737988905524,2.44077184346092,3.45706691186163,4.45578759523705
