"b","n","selector","psi","lower","upper","PnEIC","sn"
1,500,"relax",3.14112365363806,2.94389442466217,3.33835288261396,-3.63345642938239e-06,0.0161920359332572
1,500,"min_var",3.13123665290117,2.93758118197894,3.32489212382341,8.62691867889329e-05,0.015898639162798
2,500,"relax",3.32938124147415,3.13347763870838,3.52528484423992,0.0013451286176605,0.0160832052729143
2,500,"min_var",3.33412986438118,3.14370996918393,3.52454975957843,5.36681824505577e-06,0.0156330063320269
3,500,"relax",3.02033143754482,2.82201450367029,3.21864837141935,-0.000228371540236954,0.0162813338375025
3,500,"min_var",3.01930567077614,2.82576739103686,3.21284395051542,5.79623238636452e-06,0.0158890180541252
4,500,"relax",3.19149319790244,2.98513687175185,3.39784952405303,0.000193207199635349,0.016941348224272
4,500,"min_var",3.19734741690316,2.99620133696729,3.39849349683903,-1.78241954509269e-05,0.0165135997897832
5,500,"relax",3.05143872000769,2.86532462173352,3.23755281828186,7.66526251565485e-06,0.0152795109659401
5,500,"min_var",3.06936756497413,2.88606520250717,3.25266992744109,4.5444437657054e-05,0.0150486743528196
6,500,"relax",3.14934728668153,2.94058094027344,3.35811363308962,0.000157568621959799,0.0171392049760928
6,500,"min_var",3.16194248742104,2.95634357458882,3.36754140025326,5.52774278802994e-06,0.016879166448624
7,500,"relax",3.14564001372099,2.95975608008022,3.33152394736176,-4.50072332410579e-05,0.0152606150140876
7,500,"min_var",3.15344119365629,2.97458279236919,3.33229959494338,-1.47399735627941e-05,0.0146838360401416
8,500,"relax",3.14749566399574,2.94956534591319,3.3454259820783,1.35881427396576e-05,0.0162495936292762
8,500,"min_var",3.12771120558977,2.93151326703722,3.32390914414232,2.96551166253112e-05,0.0161073695190592
9,500,"relax",3.12133983876228,2.92260449275407,3.3200751847705,-3.41384059243287e-06,0.0163156844473926
9,500,"min_var",3.13122372222185,2.93626617783188,3.32618126661182,-6.38272323788364e-05,0.0160055362007617
10,500,"relax",3.0236326839447,2.82789762423356,3.21936774365584,0.000435321351273514,0.0160693683015328
10,500,"min_var",3.02395260248691,2.84077719698656,3.20712800798725,1.91602581955756e-05,0.0150382514972618
11,500,"relax",3.14531704461575,2.94114608202554,3.34948800720596,0.000669748109354117,0.0167619352362444
11,500,"min_var",3.14547547914915,2.94727953671074,3.34367142158756,0.00129152504308497,0.016271400737366
